id:ID,actor,:LABEL
20000,杰拉尔丁·麦克伊万 Geraldine McEwan,person
20001,阿伦·克雷格 Aaron Craig,person
20002,赵在允 Jae-yun Jo,person
20003,詹妮弗·康纳利 Jennifer Connelly,person
20004,J·C·纽金特 J.C. Nugent,person
20005,尹志强 Chi Keung Wan,person
20006,王德立 Deli Wang,person
20007,黄汉琪 Lucia Hwong,person
20008,克里斯·奥唐纳 Chris O&#39;Donnell,person
20009,迈克尔·拜伦 Michael Byron,person
20010,乔恩·迈克尔·戴维斯 Jon Michael Davis,person
20011,詹姆斯·兰开斯特 James Lancaster,person
20012,小杉正一 Shô Kosugi,person
20013,雅克布·托毛里 Jacob Tomuri,person
20014,沈悦 Yue Shen,person
20015,Phil Feldman Phil Feldman,person
20016,卡斯·莱蒙斯 Kasi Lemmons,person
20017,范湉湉 Tiantian Fan,person
20018,约翰·肯尼迪 John F. Kennedy,person
20019,唐纳德·富利洛夫 Donald Fullilove,person
20020,乔丹·长井 Jordan Nagai,person
20021,阿尔·帕西诺 Al Pacino,person
20022,杨真诚 Yang Jin-Sung,person
20023,海迪·布奇纳法 Hedi Bouchenafa,person
20024,大卫·塞尔瓦斯 David Selvas,person
20025,宫路佳具 Yoshimoto Miyaji,person
20026,布莱恩·拉肯 Bryan Larkin,person
20027,凯蒂·洛斯 Katie Lowes,person
20028,博鲁瓦蒂夫·特雷杰·班科尔 Boluwatife Treasure Bankole,person
20029,哈威·凯特尔 Harvey Keitel,person
20030,布丽吉特·佛西 Brigitte Fossey,person
20031,理查德·康特 Richard Conte,person
20032,筒井康隆 Yasutaka Tsutsui,person
20033,詹姆斯·沃特斯顿 James Waterston,person
20034,黄一山 Gabriel Wong,person
20035,林东升 Dongsheng Lin,person
20036,加布里埃尔·拉什 Gabriel Rush,person
20037,阿拉·乔什涅 Alaa Chouchnieh,person
20038,光石研 Ken Mitsuishi,person
20039,吉姆·塔瓦雷 Jim Tavaré,person
20040,朴镇宇 Park Jin-woo,person
20041,肖恩·比格斯代夫 Sean Biggerstaff,person
20042,欧文·威尔逊 Owen Wilson,person
20043,周一围 Yiwei Zhou,person
20044,桑尼格鲁索 Sonny Grosso,person
20045,约翰·戴维森 John Davidson,person
20046,金民尚 Kim Min-sang,person
20047,伯纳德·希尔 Bernard Hill,person
20048,磨赤儿 Akaji Maro,person
20049,菲利普·威廉姆斯 Philip Williams,person
20050,三木真一郎 Shinichirô Miki,person
20051,布拉德·皮特 Brad Pitt,person
20052,Peter Palmer Peter Palmer,person
20053,John Roy John Roy,person
20054,严志媛 Ji-won Uhm,person
20055,诺曼·凯茨 Norman Cates,person
20056,塞缪尔·杰克逊 Samuel L. Jackson,person
20057,沈成宝 Sung Bo Shim,person
20058,瓦里丝·阿卢瓦利亚 Waris Ahluwalia,person
20059,李翔 Xiang Li,person
20060,申文成 Mun-sung Shin,person
20061,Aya Hara Aya Hara,person
20062,丹尼尔·安德鲁斯 Daniel Andrews,person
20063,W·本森·泰瑞 W. Benson Terry,person
20064,崔宇植 Choi Woo-shik,person
20065,大久保佳代子 Kaiyoko Okubo,person
20066,汉娜洛蕾·赫格 Hannelore Hoger,person
20067,马丁·鲍尔萨姆 Martin Balsam,person
20068,刘小芸 Xiaoyun Liu,person
20069,麦凯尔泰·威廉逊 Mykelti Williamson,person
20070,戴维·奥格登·施蒂尔斯 David Ogden Stiers,person
20071,Ken DeVaul Ken DeVaul,person
20072,吉米·弗林 Jimmy Flynn,person
20073,英达 Da Ying,person
20074,林家栋 Ka Tung Lam,person
20075,路易·纳托 Louis Natheaux,person
20076,道格·德马斯特 Doug DeMaster,person
20077,利昂娜·罗伯特 Leona Roberts,person
20078,约翰·沙拉恩 John Sharian,person
20079,萧淑慎 Shu-shen Hsiao,person
20080,莱斯利·菲利普斯 Leslie Phillips,person
20081,Sitara Shah Sitara Shah,person
20082,埃莉诺·哥伦布 Eleanor Columbus,person
20083,萨曼萨·罗根 Samantha Logan,person
20084,Lucas Hayward Lucas Hayward,person
20085,长嶝高士 Takashi Nagasako,person
20086,尼古拉斯·卡斯柯恩 Nicholas Cascone,person
20087,奥梅罗·安东努蒂 Omero Antonutti,person
20088,卡拉·奥奇格罗索 Carla Occhiogrosso,person
20089,丹·华盛顿 Dan Washington,person
20090,泰勒·吉蕾 Taylor Geare,person
20091,铃木玲子 Reiko Suzuki,person
20092,艾米·亚当斯 Amy Adams,person
20093,帕梅拉·阿德龙 Pamela Adlon,person
20094,龚蓓苾 Beibi Gong,person
20095,盖尔·汉森 Gale Hansen,person
20096,金相镐 Sang-ho Kim,person
20097,金荷景 Ha-kyung Kim,person
20098,罗恩·迪恩 Ron Dean,person
