:START_ID,:END_ID,:TYPE
0,30016,belong_to
0,30001,belong_to
1,30016,belong_to
1,30019,belong_to
1,30009,belong_to
2,30016,belong_to
2,30019,belong_to
3,30016,belong_to
3,30019,belong_to
3,30000,belong_to
4,30016,belong_to
4,30012,belong_to
4,30020,belong_to
5,30016,belong_to
5,30011,belong_to
5,30019,belong_to
5,30007,belong_to
6,30016,belong_to
6,30003,belong_to
6,30001,belong_to
7,30016,belong_to
7,30013,belong_to
7,30006,belong_to
8,30016,belong_to
8,30013,belong_to
8,30021,belong_to
8,30006,belong_to
9,30016,belong_to
9,30013,belong_to
10,30016,belong_to
10,30014,belong_to
10,30007,belong_to
11,30016,belong_to
12,30016,belong_to
12,30025,belong_to
13,30016,belong_to
13,30011,belong_to
13,30019,belong_to
13,30018,belong_to
14,30016,belong_to
14,30025,belong_to
15,30013,belong_to
15,30012,belong_to
15,30006,belong_to
16,30011,belong_to
16,30012,belong_to
16,30006,belong_to
17,30016,belong_to
17,30023,belong_to
17,30001,belong_to
18,30016,belong_to
18,30021,belong_to
18,30023,belong_to
18,30001,belong_to
19,30011,belong_to
19,30019,belong_to
19,30020,belong_to
19,30004,belong_to
20,30016,belong_to
21,30016,belong_to
21,30001,belong_to
22,30016,belong_to
22,30011,belong_to
23,30011,belong_to
23,30012,belong_to
23,30025,belong_to
23,30020,belong_to
24,30016,belong_to
24,30015,belong_to
24,30022,belong_to
25,30016,belong_to
25,30022,belong_to
25,30014,belong_to
26,30012,belong_to
26,30020,belong_to
26,30006,belong_to
27,30020,belong_to
27,30006,belong_to
28,30016,belong_to
28,30011,belong_to
28,30019,belong_to
29,30016,belong_to
29,30015,belong_to
29,30014,belong_to
30,30016,belong_to
30,30003,belong_to
30,30013,belong_to
30,30023,belong_to
30,30001,belong_to
31,30016,belong_to
31,30003,belong_to
31,30020,belong_to
31,30006,belong_to
32,30016,belong_to
32,30011,belong_to
33,30016,belong_to
33,30019,belong_to
33,30014,belong_to
33,30007,belong_to
34,30016,belong_to
34,30011,belong_to
34,30012,belong_to
34,30006,belong_to
35,30019,belong_to
35,30012,belong_to
35,30020,belong_to
35,30006,belong_to
36,30016,belong_to
37,30016,belong_to
37,30011,belong_to
37,30003,belong_to
37,30024,belong_to
38,30016,belong_to
39,30016,belong_to
39,30015,belong_to
39,30006,belong_to
40,30016,belong_to
41,30016,belong_to
41,30022,belong_to
41,30001,belong_to
42,30012,belong_to
42,30020,belong_to
42,30006,belong_to
43,30016,belong_to
43,30015,belong_to
43,30022,belong_to
43,30017,belong_to
44,30016,belong_to
44,30011,belong_to
45,30016,belong_to
45,30020,belong_to
45,30006,belong_to
46,30016,belong_to
46,30025,belong_to
46,30022,belong_to
46,30007,belong_to
47,30016,belong_to
47,30003,belong_to
47,30020,belong_to
47,30006,belong_to
48,30011,belong_to
48,30019,belong_to
48,30020,belong_to
48,30004,belong_to
49,30016,belong_to
50,30016,belong_to
51,30016,belong_to
51,30011,belong_to
51,30025,belong_to
51,30022,belong_to
52,30016,belong_to
52,30012,belong_to
52,30020,belong_to
52,30004,belong_to
53,30016,belong_to
53,30011,belong_to
53,30019,belong_to
54,30003,belong_to
54,30013,belong_to
55,30016,belong_to
55,30003,belong_to
55,30020,belong_to
55,30006,belong_to
56,30016,belong_to
56,30001,belong_to
57,30016,belong_to
57,30019,belong_to
58,30012,belong_to
58,30018,belong_to
58,30006,belong_to
59,30016,belong_to
60,30016,belong_to
60,30015,belong_to
61,30016,belong_to
61,30003,belong_to
61,30021,belong_to
61,30023,belong_to
62,30016,belong_to
62,30019,belong_to
62,30020,belong_to
63,30016,belong_to
63,30022,belong_to
64,30016,belong_to
64,30007,belong_to
65,30016,belong_to
65,30019,belong_to
66,30016,belong_to
66,30021,belong_to
67,30016,belong_to
67,30011,belong_to
67,30001,belong_to
68,30020,belong_to
68,30006,belong_to
69,30016,belong_to
69,30019,belong_to
69,30018,belong_to
69,30022,belong_to
70,30016,belong_to
70,30021,belong_to
70,30023,belong_to
70,30001,belong_to
71,30016,belong_to
71,30008,belong_to
71,30007,belong_to
72,30003,belong_to
72,30013,belong_to
72,30006,belong_to
73,30016,belong_to
73,30007,belong_to
74,30011,belong_to
74,30003,belong_to
74,30001,belong_to
74,30020,belong_to
75,30020,belong_to
75,30006,belong_to
76,30016,belong_to
76,30015,belong_to
76,30002,belong_to
77,30016,belong_to
78,30016,belong_to
78,30023,belong_to
78,30001,belong_to
79,30016,belong_to
79,30011,belong_to
79,30006,belong_to
79,30016,belong_to
79,30011,belong_to
79,30006,belong_to
81,30016,belong_to
81,30021,belong_to
81,30023,belong_to
82,30016,belong_to
82,30021,belong_to
82,30023,belong_to
83,30016,belong_to
84,30016,belong_to
85,30016,belong_to
85,30011,belong_to
85,30001,belong_to
86,30016,belong_to
86,30011,belong_to
86,30019,belong_to
87,30016,belong_to
87,30011,belong_to
87,30019,belong_to
88,30016,belong_to
88,30019,belong_to
88,30009,belong_to
89,30020,belong_to
89,30006,belong_to
90,30016,belong_to
90,30021,belong_to
90,30023,belong_to
91,30010,belong_to
92,30016,belong_to
92,30003,belong_to
92,30021,belong_to
92,30023,belong_to
92,30001,belong_to
93,30016,belong_to
93,30001,belong_to
94,30016,belong_to
94,30019,belong_to
94,30015,belong_to
95,30013,belong_to
95,30012,belong_to
95,30021,belong_to
95,30023,belong_to
96,30003,belong_to
96,30020,belong_to
96,30006,belong_to
97,30016,belong_to
97,30021,belong_to
97,30023,belong_to
97,30001,belong_to
98,30011,belong_to
98,30019,belong_to
98,30004,belong_to
99,30016,belong_to
100,30016,belong_to
100,30011,belong_to
100,30015,belong_to
101,30016,belong_to
101,30003,belong_to
101,30013,belong_to
101,30023,belong_to
101,30001,belong_to
102,30016,belong_to
102,30019,belong_to
103,30016,belong_to
103,30018,belong_to
104,30016,belong_to
104,30019,belong_to
105,30011,belong_to
105,30003,belong_to
105,30013,belong_to
105,30012,belong_to
105,30006,belong_to
106,30016,belong_to
107,30016,belong_to
