:START_ID,:END_ID,:TYPE
0,10083,directed
1,10080,directed
2,10053,directed
3,10056,directed
4,10027,directed
5,10097,directed
6,10096,directed
7,10019,directed
8,10019,directed
9,10028,directed
10,10103,directed
11,10101,directed
12,10025,directed
13,10067,directed
14,10063,directed
15,10085,directed
16,10008,directed
16,10102,directed
16,10076,directed
17,10055,directed
17,10060,directed
18,10021,directed
19,10033,directed
20,10000,directed
21,10006,directed
22,10057,directed
22,10066,directed
23,10040,directed
23,10013,directed
24,10086,directed
25,10094,directed
26,10027,directed
27,10092,directed
28,10031,directed
29,10106,directed
30,10019,directed
31,10050,directed
32,10100,directed
33,10023,directed
33,10045,directed
33,10058,directed
34,10078,directed
34,10014,directed
35,10027,directed
36,10064,directed
37,10091,directed
38,10105,directed
39,10035,directed
40,10039,directed
41,10103,directed
42,10027,directed
43,10098,directed
44,10091,directed
45,10088,directed
46,10048,directed
47,10050,directed
48,10033,directed
49,10028,directed
50,10044,directed
51,10020,directed
52,10029,directed
53,10034,directed
54,10071,directed
54,10043,directed
55,10050,directed
56,10006,directed
57,10025,directed
58,10072,directed
58,10009,directed
59,10017,directed
60,10088,directed
61,10004,directed
62,10004,directed
63,10059,directed
64,10099,directed
65,10022,directed
66,10061,directed
67,10074,directed
68,10077,directed
69,10024,directed
70,10001,directed
71,10025,directed
72,10056,directed
73,10103,directed
74,10005,directed
75,10082,directed
76,10052,directed
77,10051,directed
78,10084,directed
79,10018,directed
79,10018,directed
81,10011,directed
82,10019,directed
83,10068,directed
84,10041,directed
85,10090,directed
86,10104,directed
87,10005,directed
87,10037,directed
88,10030,directed
89,10092,directed
90,10026,directed
91,10073,directed
92,10007,directed
93,10003,directed
94,10075,directed
95,10089,directed
96,10015,directed
97,10004,directed
98,10037,directed
99,10002,directed
100,10095,directed
101,10019,directed
102,10065,directed
103,10069,directed
104,10046,directed
105,10010,directed
105,10049,directed
106,10007,directed
107,10054,directed
108,10030,directed
109,10046,directed
110,10081,directed
111,10027,directed
112,10032,directed
113,10012,directed
114,10088,directed
115,10036,directed
116,10062,directed
117,10093,directed
118,10089,directed
119,10016,directed
120,10004,directed
121,10042,directed
122,10038,directed
123,10079,directed
123,10047,directed
123,10070,directed
124,10087,directed
