id:ID,director,:LABEL
10000,黄东赫 Dong-hyuk Hwang,person
10001,奥里奥尔·保罗 Oriol Paulo,person
10002,托马斯·温特伯格 Thomas Vinterberg,person
10003,赛尔乔·莱昂内 Sergio Leone,person
10004,大卫·芬奇 David Fincher,person
10005,周星驰 Stephen Chow,person
10006,弗朗西斯·福特·科波拉 Francis Ford Coppola,person
10007,奉俊昊 Joon-ho Bong,person
10008,拜伦·霍华德 Byron Howard,person
10009,罗伯·明可夫 Rob Minkoff,person
10010,唐·霍尔 Don Hall,person
10011,马丁·斯科塞斯 Martin Scorsese,person
10012,卢卡·瓜达尼诺 Luca Guadagnino,person
10013,阿德里安·莫利纳 Adrian Molina,person
10014,鲍勃·彼德森 Bob Peterson,person
10015,戈尔·维宾斯基 Gore Verbinski,person
10016,迈克·内威尔 Mike Newell,person
10017,杨宇硕 Woo-seok Yang,person
10018,韦斯·安德森 Wes Anderson,person
10019,克里斯托弗·诺兰 Christopher Nolan,person
10020,彼得·法雷里 Peter Farrelly,person
10021,比利·怀尔德 Billy Wilder,person
10022,岩井俊二 Shunji Iwai,person
10023,维克多·弗莱明 Victor Fleming,person
10024,罗伯特·怀斯 Robert Wise,person
10025,朱塞佩·托纳多雷 Giuseppe Tornatore,person
10026,詹姆斯·曼高德 James Mangold,person
10027,宫崎骏 Hayao Miyazaki,person
10028,彼得·威尔 Peter Weir,person
10029,万籁鸣 Laiming Wan,person
10030,王家卫 Kar Wai Wong,person
10031,罗伯·莱纳 Rob Reiner,person
10032,蒂姆·波顿 Tim Burton,person
10033,刘镇伟 Jeffrey Lau,person
10034,威廉·惠勒 William Wyler,person
10035,阿兰·葛斯彭纳 Alain Gsponer,person
10036,梅尔·吉布森 Mel Gibson,person
10037,李力持 Lik-Chi Lee,person
10038,理查德·柯蒂斯 Richard Curtis,person
10039,娜丁·拉巴基 Nadine Labaki,person
10040,李·昂克里奇 Lee Unkrich,person
10041,托尼·凯耶 Tony Kaye,person
10042,是枝裕和 Hirokazu Kore-eda ,person
10043,拉娜·沃卓斯基 Lana Wachowski,person
10044,马丁·布莱斯特 Martin Brest,person
10045,乔治·库克 George Cukor,person
10046,理查德·林克莱特 Richard Linklater,person
10047,焦菊隐 Juyin Jiao,person
10048,罗曼·波兰斯基 Roman Polanski,person
10049,克里斯·威廉姆斯 Chris Williams,person
10050,彼得·杰克逊 Peter Jackson,person
10051,米洛斯·福尔曼 Miloš Forman,person
10052,马基德·马基迪 Majid Majidi,person
10053,罗伯特·泽米吉斯 Robert Zemeckis,person
10054,M·奈特·沙马兰 M. Night Shyamalan,person
10055,刘伟强 Andrew Lau,person
10056,詹姆斯·卡梅隆 James Cameron,person
10057,奥利维埃·纳卡什 Olivier Nakache,person
10058,山姆·伍德 Sam Wood,person
10059,朗·霍华德 Ron Howard,person
10060,麦兆辉 Alan Mak,person
10061,弗洛里安·亨克尔·冯·多纳斯马尔克 Florian Henckel von Donnersmarck,person
10062,北野武 Takeshi Kitano,person
10063,克里斯托夫·巴哈蒂 Christophe Barratier,person
10064,李濬益 Jun-ik Lee,person
10065,陈可辛 Peter Chan,person
10066,埃里克·托莱达诺 Eric Toledano,person
10067,拉吉库马尔·希拉尼 Rajkumar Hirani,person
10068,格斯·范·桑特 Gus Van Sant,person
10069,中岛哲也 Tetsuya Nakashima,person
10070,夏淳 Chun Xia,person
10071,莉莉·沃卓斯基 Lilly Wachowski,person
10072,罗杰·阿勒斯 Roger Allers,person
10073,路易·西霍尤斯 Louie Psihoyos,person
10074,盖·里奇 Guy Ritchie,person
10075,杨德昌 Edward Yang,person
10076,杰拉德·布什 Jared Bush,person
10077,大卫·叶茨 David Yates,person
10078,彼特·道格特 Pete Docter,person
10079,谢添 Tian Xie,person
10080,陈凯歌 Kaige Chen,person
10081,泷田洋二郎 Yôjirô Takita,person
10082,阿方索·卡隆 Alfonso Cuarón,person
10083,弗兰克·德拉邦特 Frank Darabont,person
10084,乔纳森·戴米 Jonathan Demme,person
10085,安德鲁·斯坦顿 Andrew Stanton,person
10086,加布里埃莱·穆奇诺 Gabriele Muccino,person
10087,程小东 Siu-Tung Ching,person
10088,李安 Ang Lee,person
10089,今敏 Satoshi Kon,person
10090,昆汀·塔伦蒂诺 Quentin Tarantino,person
10091,姜文 Wen Jiang,person
10092,克里斯·哥伦布 Chris Columbus,person
10093,米林宏昌 Hiromasa Yonebayashi,person
10094,贝纳尔多·贝托鲁奇 Bernardo Bertolucci,person
10095,李焕庆 Hwan-kyeong Lee,person
10096,吕克·贝松 Luc Besson,person
10097,罗伯托·贝尼尼 Roberto Benigni,person
10098,涅提·蒂瓦里 Nitesh Tiwari,person
10099,马克·赫尔曼 Mark Herman,person
10100,文牧野 Muye Wen,person
10101,拉斯·霍尔斯道姆 Lasse Hallström,person
10102,瑞奇·摩尔 Rich Moore,person
10103,史蒂文·斯皮尔伯格 Steven Spielberg,person
10104,查理·卓别林 Charles Chaplin,person
10105,西德尼·吕美特 Sidney Lumet,person
10106,张艺谋 Yimou Zhang,person
